CHEMICAL,DISEASE,relación,oración
esomeprazole,infection,otro,OBJECTIVE: This study aimed to compare the effectiveness and safety of high-dose dual therapy (HDDT) using esomeprazole and amoxicillin to furazolidone-based quadruple therapy (FBQT) in treating nonresponsive patients with Helicobacter pylori ( H. pylori ) infection.
amoxicillin,Helicobacter pylori,otro,OBJECTIVE: This study aimed to compare the effectiveness and safety of high-dose dual therapy (HDDT) using esomeprazole and amoxicillin to furazolidone-based quadruple therapy (FBQT) in treating nonresponsive patients with Helicobacter pylori ( H. pylori ) infection.
amoxicillin,infection,otro,OBJECTIVE: This study aimed to compare the effectiveness and safety of high-dose dual therapy (HDDT) using esomeprazole and amoxicillin to furazolidone-based quadruple therapy (FBQT) in treating nonresponsive patients with Helicobacter pylori ( H. pylori ) infection.
quadruple,Helicobacter pylori,otro,OBJECTIVE: This study aimed to compare the effectiveness and safety of high-dose dual therapy (HDDT) using esomeprazole and amoxicillin to furazolidone-based quadruple therapy (FBQT) in treating nonresponsive patients with Helicobacter pylori ( H. pylori ) infection.
quadruple,infection,otro,OBJECTIVE: This study aimed to compare the effectiveness and safety of high-dose dual therapy (HDDT) using esomeprazole and amoxicillin to furazolidone-based quadruple therapy (FBQT) in treating nonresponsive patients with Helicobacter pylori ( H. pylori ) infection.
esomeprazole,pylori infection,comparación,"CONCLUSION: HDDT using high-dose esomeprazole and amoxicillin demonstrated efficacy in treating H. pylori infection, with the added benefits of reduced side effects and improved medication compliance compared with FBQT."
amoxicillin,pylori infection,comparación,"CONCLUSION: HDDT using high-dose esomeprazole and amoxicillin demonstrated efficacy in treating H. pylori infection, with the added benefits of reduced side effects and improved medication compliance compared with FBQT."
amoxicillin,endocarditis,otro,The objective of this study was to describe the epidemiology of E. faecalis infective endocarditis and to evaluate whether the MIC of amoxicillin might influence mortality.
amoxicillin,endocarditis-related,otro,The primary endpoints were endocarditis-related mortality and risk factors for endocarditis-related mortality including amoxicillin MIC.
amoxicillin MIC,endocarditis,otro,CONCLUSIONS: Higher amoxicillin MIC was not a risk factor leading to endocarditis-related mortality in definite E. faecalis infective endocarditis.
BCC,BCC infection,efecto_adverso,"Objectives We aim to identify isolates belonging to BCC from other non-fermenters using simple conventional biochemical tests, automated methods, and polymerase chain reaction (PCR) and analyze antibiotic profiles and treatment outcomes in patients with BCC infection."
polymyxin B,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
lysine,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
ornithine,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
arginine,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
urea,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
polymyxin B,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
amoxicillin-clavulanic acid,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
gentamicin,non-lactose,otro,"Samples that grew non-lactose fermenting colonies on MacConkey agar, which were resistant to polymyxin B 300 (PB300) units, were further identified using conventional biochemicals, and lysine decarboxylase test, ornithine decarboxylase test, arginine dihydrolase test, ortho-nitrophenyl-beta-galactoside (ONPG) test, urea hydrolysis, triple disc screening test (polymyxin B 300 units, amoxicillin-clavulanic acid 20/10 mcg (AMC20/10), and gentamicin 10 mcg (GEN10)), VITEK MS (bioMerieux, Marcy-l'Etoile, France), VITEK 2 Gram-Negative (GN) Identification (ID) Card (bioMerieux), and PCR targeting groEL sequence was performed for Burkholderia isolates."
BCC,Infections,otro,Infections with BCC commonly occurred in patients with diabetes mellitus and indwelling devices.
BCC,diabetes mellitus,otro,Infections with BCC commonly occurred in patients with diabetes mellitus and indwelling devices.
low-dose,H. pylori infection,comparación,AIM: To compare the efficacy and safety of low-dose compared to standard dose tetracycline with combined amoxicillin-containing bismuth quadruple therapy in patients with H. pylori infection.
tetracycline,H. pylori infection,comparación,AIM: To compare the efficacy and safety of low-dose compared to standard dose tetracycline with combined amoxicillin-containing bismuth quadruple therapy in patients with H. pylori infection.
bismuth,H. pylori infection,comparación,AIM: To compare the efficacy and safety of low-dose compared to standard dose tetracycline with combined amoxicillin-containing bismuth quadruple therapy in patients with H. pylori infection.
tetracycline,H. pylori infection,otro,"METHODS: Consecutive patients with H. pylori infection receiving tetracycline, amoxicillin, proton pump inhibitor, and bismuth for 14 days at Sir Run Run Shaw Hospital (1/2022-6/2023) were evaluated."
amoxicillin,H. pylori infection,otro,"METHODS: Consecutive patients with H. pylori infection receiving tetracycline, amoxicillin, proton pump inhibitor, and bismuth for 14 days at Sir Run Run Shaw Hospital (1/2022-6/2023) were evaluated."
bismuth,H. pylori infection,otro,"METHODS: Consecutive patients with H. pylori infection receiving tetracycline, amoxicillin, proton pump inhibitor, and bismuth for 14 days at Sir Run Run Shaw Hospital (1/2022-6/2023) were evaluated."
Low-dose tetracycline,H. pylori infection,efecto_adverso,CONCLUSION: Low-dose tetracycline combined with amoxicillin quadruple therapy for 14 days achieved a high eradication rate and fewer adverse events compared to the standard dose tetracycline regimen in patients with H. pylori infection.
amoxicillin quadruple,H. pylori infection,efecto_adverso,CONCLUSION: Low-dose tetracycline combined with amoxicillin quadruple therapy for 14 days achieved a high eradication rate and fewer adverse events compared to the standard dose tetracycline regimen in patients with H. pylori infection.
tetracycline,H. pylori infection,efecto_adverso,CONCLUSION: Low-dose tetracycline combined with amoxicillin quadruple therapy for 14 days achieved a high eradication rate and fewer adverse events compared to the standard dose tetracycline regimen in patients with H. pylori infection.
ciprofloxacin/metronidazole,cIAI,otro,METHODS: Hospitalized adults with cIAI were randomly assigned to 5 days of IV sulopenem followed by oral sulopenem etzadroxil/probenecid twice daily or 5 days of IV ertapenem followed by oral ciprofloxacin/metronidazole or amoxicillin-clavulanate depending on baseline pathogen susceptibility.
amoxicillin-clavulanate,cIAI,otro,METHODS: Hospitalized adults with cIAI were randomly assigned to 5 days of IV sulopenem followed by oral sulopenem etzadroxil/probenecid twice daily or 5 days of IV ertapenem followed by oral ciprofloxacin/metronidazole or amoxicillin-clavulanate depending on baseline pathogen susceptibility.
ertapenem,cIAI,otro,DISCUSSION: Sulopenem IV followed by oral sulopenem etzadroxil/probenecid was not non-inferior to ertapenem followed by oral step-down in treating cIAI in the micro-MITT population.
amoxicillin trihydrate,Amoxicillin-induced,causa,"Amoxicillin-induced crystal nephropathy (AICN) refers to the obstruction of kidney tubules by amoxicillin trihydrate crystals, resulting in acute kidney injury."
amoxicillin trihydrate,nephropathy,causa,"Amoxicillin-induced crystal nephropathy (AICN) refers to the obstruction of kidney tubules by amoxicillin trihydrate crystals, resulting in acute kidney injury."
amoxicillin,hypovolemia,otro,amoxicillin administration and hypovolemia) risk factors for AC suggests its diagnosis.
ceftriaxone,nalidixic acid,otro,"However, 93%, 78.6%, and 71.4% of the isolates were susceptible to ceftriaxone, ciprofloxacin, and nalidixic acid, respectively."
ciprofloxacin,nalidixic acid,otro,"However, 93%, 78.6%, and 71.4% of the isolates were susceptible to ceftriaxone, ciprofloxacin, and nalidixic acid, respectively."
antitussives,cough,tratamiento,"RESULTS: There was strong evidence that antitussives and beta-sympathomimetics were not effective for bronchitis-related cough and that laryngitis should be treated with oral corticosteroids, with adrenaline inhalations added in severe cases."
antitussives,laryngitis,tratamiento,"RESULTS: There was strong evidence that antitussives and beta-sympathomimetics were not effective for bronchitis-related cough and that laryngitis should be treated with oral corticosteroids, with adrenaline inhalations added in severe cases."
adrenaline,cough,tratamiento,"RESULTS: There was strong evidence that antitussives and beta-sympathomimetics were not effective for bronchitis-related cough and that laryngitis should be treated with oral corticosteroids, with adrenaline inhalations added in severe cases."
adrenaline,laryngitis,tratamiento,"RESULTS: There was strong evidence that antitussives and beta-sympathomimetics were not effective for bronchitis-related cough and that laryngitis should be treated with oral corticosteroids, with adrenaline inhalations added in severe cases."
amoxicillin,community-acquired pneumonia,otro,"Also, that amoxicillin for 5 days provided sufficient treatment for paediatric community-acquired pneumonia and that children with apparent viral pneumonia could be observed without antimicrobial therapy."
amoxicillin,pneumonia,otro,"Also, that amoxicillin for 5 days provided sufficient treatment for paediatric community-acquired pneumonia and that children with apparent viral pneumonia could be observed without antimicrobial therapy."
corticosteroids,bronchiolitis,tratamiento,There was moderate evidence that corticosteroids or inhaled agents were not effective for bronchiolitis and that administering salbutamol with a holding chamber could relieve symptoms of wheezing bronchitis.
corticosteroids,wheezing bronchitis,tratamiento,There was moderate evidence that corticosteroids or inhaled agents were not effective for bronchiolitis and that administering salbutamol with a holding chamber could relieve symptoms of wheezing bronchitis.
inhaled,bronchiolitis,tratamiento,There was moderate evidence that corticosteroids or inhaled agents were not effective for bronchiolitis and that administering salbutamol with a holding chamber could relieve symptoms of wheezing bronchitis.
inhaled,wheezing bronchitis,tratamiento,There was moderate evidence that corticosteroids or inhaled agents were not effective for bronchiolitis and that administering salbutamol with a holding chamber could relieve symptoms of wheezing bronchitis.
salbutamol,bronchiolitis,tratamiento,There was moderate evidence that corticosteroids or inhaled agents were not effective for bronchiolitis and that administering salbutamol with a holding chamber could relieve symptoms of wheezing bronchitis.
salbutamol,wheezing bronchitis,tratamiento,There was moderate evidence that corticosteroids or inhaled agents were not effective for bronchiolitis and that administering salbutamol with a holding chamber could relieve symptoms of wheezing bronchitis.
Omeprazole,OAL,otro,"The OAL group received 20 mg Omeprazole capsules twice a day, two 500 mg Amoxicillin capsules twice a day, and Levofloxacin 500 mg capsules twice a day for 14 days."
Levofloxacin,OAL,otro,"The OAL group received 20 mg Omeprazole capsules twice a day, two 500 mg Amoxicillin capsules twice a day, and Levofloxacin 500 mg capsules twice a day for 14 days."
OAC,OAL,otro,"Only OAC and OAL showed a significant difference in the H. pylori eradication rate, and no superiority was found between OAMB and OAL or OAC therapies."
OAC,OAL,otro,"Only OAC and OAL showed a significant difference in the H. pylori eradication rate, and no superiority was found between OAMB and OAL or OAC therapies."
OAC,OAL,otro,"Only OAC and OAL showed a significant difference in the H. pylori eradication rate, and no superiority was found between OAMB and OAL or OAC therapies."
OAC,OAL,otro,"Only OAC and OAL showed a significant difference in the H. pylori eradication rate, and no superiority was found between OAMB and OAL or OAC therapies."
flagellin,pneumonia,otro,Previous studies have shown that targeted stimulation of lung innate immune defenses through intranasal administration of the Toll-like receptor 5 agonist flagellin improves the treatment of pneumonia when combined with antibiotics.
amoxicillin,pneumonia,otro,"Lastly, adjunct therapy combining nebulized flagellin and amoxicillin proved effective against antibiotic-resistant pneumococcal pneumonia in mice."
florfenicol,Trueperella pyogenes,otro,"Among animals with bacterial isolation, Escherichia coli (34/115 = 29.6%), alfa-hemolytic Streptococcus (12/115 = 10.4%), Staphylococcus aureus (8/115 = 6.9%), beta-hemolytic Streptococcus (7/115 = 6.1%), and Pasteurella multocida (6/115 = 5.2%) were predominant in pure culture, in addition to a miscellaneous of other bacteria isolated in minor frequency, e.g., Pseudomonas sp., Trueperella pyogenes, Klebsiella pneumoniae, and Salmonella sp. In general, in vitro susceptibility tests of isolates revealed that florfenicol, chloramphenicol, and amoxicillin/clavulanic acid showed moderate effectivity (>/= 60%)."
florfenicol,pneumoniae,otro,"Among animals with bacterial isolation, Escherichia coli (34/115 = 29.6%), alfa-hemolytic Streptococcus (12/115 = 10.4%), Staphylococcus aureus (8/115 = 6.9%), beta-hemolytic Streptococcus (7/115 = 6.1%), and Pasteurella multocida (6/115 = 5.2%) were predominant in pure culture, in addition to a miscellaneous of other bacteria isolated in minor frequency, e.g., Pseudomonas sp., Trueperella pyogenes, Klebsiella pneumoniae, and Salmonella sp. In general, in vitro susceptibility tests of isolates revealed that florfenicol, chloramphenicol, and amoxicillin/clavulanic acid showed moderate effectivity (>/= 60%)."
chloramphenicol,Trueperella pyogenes,otro,"Among animals with bacterial isolation, Escherichia coli (34/115 = 29.6%), alfa-hemolytic Streptococcus (12/115 = 10.4%), Staphylococcus aureus (8/115 = 6.9%), beta-hemolytic Streptococcus (7/115 = 6.1%), and Pasteurella multocida (6/115 = 5.2%) were predominant in pure culture, in addition to a miscellaneous of other bacteria isolated in minor frequency, e.g., Pseudomonas sp., Trueperella pyogenes, Klebsiella pneumoniae, and Salmonella sp. In general, in vitro susceptibility tests of isolates revealed that florfenicol, chloramphenicol, and amoxicillin/clavulanic acid showed moderate effectivity (>/= 60%)."
chloramphenicol,pneumoniae,otro,"Among animals with bacterial isolation, Escherichia coli (34/115 = 29.6%), alfa-hemolytic Streptococcus (12/115 = 10.4%), Staphylococcus aureus (8/115 = 6.9%), beta-hemolytic Streptococcus (7/115 = 6.1%), and Pasteurella multocida (6/115 = 5.2%) were predominant in pure culture, in addition to a miscellaneous of other bacteria isolated in minor frequency, e.g., Pseudomonas sp., Trueperella pyogenes, Klebsiella pneumoniae, and Salmonella sp. In general, in vitro susceptibility tests of isolates revealed that florfenicol, chloramphenicol, and amoxicillin/clavulanic acid showed moderate effectivity (>/= 60%)."
amoxicillin/clavulanic acid,Trueperella pyogenes,otro,"Among animals with bacterial isolation, Escherichia coli (34/115 = 29.6%), alfa-hemolytic Streptococcus (12/115 = 10.4%), Staphylococcus aureus (8/115 = 6.9%), beta-hemolytic Streptococcus (7/115 = 6.1%), and Pasteurella multocida (6/115 = 5.2%) were predominant in pure culture, in addition to a miscellaneous of other bacteria isolated in minor frequency, e.g., Pseudomonas sp., Trueperella pyogenes, Klebsiella pneumoniae, and Salmonella sp. In general, in vitro susceptibility tests of isolates revealed that florfenicol, chloramphenicol, and amoxicillin/clavulanic acid showed moderate effectivity (>/= 60%)."
amoxicillin/clavulanic acid,pneumoniae,otro,"Among animals with bacterial isolation, Escherichia coli (34/115 = 29.6%), alfa-hemolytic Streptococcus (12/115 = 10.4%), Staphylococcus aureus (8/115 = 6.9%), beta-hemolytic Streptococcus (7/115 = 6.1%), and Pasteurella multocida (6/115 = 5.2%) were predominant in pure culture, in addition to a miscellaneous of other bacteria isolated in minor frequency, e.g., Pseudomonas sp., Trueperella pyogenes, Klebsiella pneumoniae, and Salmonella sp. In general, in vitro susceptibility tests of isolates revealed that florfenicol, chloramphenicol, and amoxicillin/clavulanic acid showed moderate effectivity (>/= 60%)."
AMX,UTIs,otro,"The highest resistance rates across all patient demographics were for AMX, implying that the use of this antibiotic for the treatment of E. coli UTIs is not appropriate."
doxycycline,Whipple's disease,otro,"CONCLUSION: Existing case reports typically employ treatment protocols for classic Whipple's disease, such as oral doxycycline combined with hydroxychloroquine or trimethoprim/sulfamethoxazole for a one-year duration."
hydroxychloroquine,Whipple's disease,otro,"CONCLUSION: Existing case reports typically employ treatment protocols for classic Whipple's disease, such as oral doxycycline combined with hydroxychloroquine or trimethoprim/sulfamethoxazole for a one-year duration."
trimethoprim/sulfamethoxazole,Whipple's disease,otro,"CONCLUSION: Existing case reports typically employ treatment protocols for classic Whipple's disease, such as oral doxycycline combined with hydroxychloroquine or trimethoprim/sulfamethoxazole for a one-year duration."
Amoxicillin,Nalidixic acid,otro,"Very few isolates were resistant to Amoxicillin and Gentamicin (each at 3.7%), Ampicillin (11.1%), and Nalidixic acid (24.1%)."
Gentamicin,Nalidixic acid,otro,"Very few isolates were resistant to Amoxicillin and Gentamicin (each at 3.7%), Ampicillin (11.1%), and Nalidixic acid (24.1%)."
Ampicillin,Nalidixic acid,otro,"Very few isolates were resistant to Amoxicillin and Gentamicin (each at 3.7%), Ampicillin (11.1%), and Nalidixic acid (24.1%)."
penicillins,type allergic reactions,efecto_adverso,INTRODUCTION: Patients with immediate type allergic reactions to penicillins are at risk of anaphylaxis on reexposure.
penicillins,anaphylaxis,efecto_adverso,INTRODUCTION: Patients with immediate type allergic reactions to penicillins are at risk of anaphylaxis on reexposure.
DPT,allergy,otro,"Diagnostic gold standard is drug provocation test (DPT) if allergy is not diagnosed by other means, such as skin testing or in vitro testing with measurement of specific IgE. Specific IgE testing carries low risk for the patient and blood sampling can be performed in primary care, but it is reported to have low sensitivity."
penicillin,allergic reactions,efecto_adverso,"The aim of this study was to evaluate if clinical characteristics of patients with suspected allergic reactions to penicillin and elevated specific IgE to penicillins, differed from patients without specific IgE, to identify predictors for elevated specific IgE to penicillins."
penicillins,allergic reactions,efecto_adverso,"The aim of this study was to evaluate if clinical characteristics of patients with suspected allergic reactions to penicillin and elevated specific IgE to penicillins, differed from patients without specific IgE, to identify predictors for elevated specific IgE to penicillins."
penicillins,allergic reactions,efecto_adverso,"The aim of this study was to evaluate if clinical characteristics of patients with suspected allergic reactions to penicillin and elevated specific IgE to penicillins, differed from patients without specific IgE, to identify predictors for elevated specific IgE to penicillins."
penicillins,allergy,efecto_adverso,"CONCLUSION: A history of an immediate type reaction requiring treatment, combined with elevated specific IgE to one or more penicillins is suggestive of an IgE mediated penicillin allergy and further allergy investigations may not be needed."
penicillin allergy,allergy,efecto_adverso,"CONCLUSION: A history of an immediate type reaction requiring treatment, combined with elevated specific IgE to one or more penicillins is suggestive of an IgE mediated penicillin allergy and further allergy investigations may not be needed."
penicillins,allergy,efecto_adverso,Specific IgE to penicillins may be used early in allergy investigation of patients with severe immediate type reactions to penicillins.
penicillins,allergy,efecto_adverso,Specific IgE to penicillins may be used early in allergy investigation of patients with severe immediate type reactions to penicillins.
penicillins,type allergic reactions,efecto_adverso,INTRODUCTION: Patients with immediate type allergic reactions to penicillins are at risk of anaphylaxis on reexposure.
penicillins,anaphylaxis,efecto_adverso,INTRODUCTION: Patients with immediate type allergic reactions to penicillins are at risk of anaphylaxis on reexposure.
DPT,allergy,otro,"Diagnostic gold standard is drug provocation test (DPT) if allergy is not diagnosed by other means, such as skin testing or in vitro testing with measurement of specific IgE. Specific IgE testing carries low risk for the patient and blood sampling can be performed in primary care, but it is reported to have low sensitivity."
penicillin,allergic reactions,efecto_adverso,"The aim of this study was to evaluate if clinical characteristics of patients with suspected allergic reactions to penicillin and elevated specific IgE to penicillins, differed from patients without specific IgE, to identify predictors for elevated specific IgE to penicillins."
penicillins,allergic reactions,efecto_adverso,"The aim of this study was to evaluate if clinical characteristics of patients with suspected allergic reactions to penicillin and elevated specific IgE to penicillins, differed from patients without specific IgE, to identify predictors for elevated specific IgE to penicillins."
penicillins,allergic reactions,efecto_adverso,"The aim of this study was to evaluate if clinical characteristics of patients with suspected allergic reactions to penicillin and elevated specific IgE to penicillins, differed from patients without specific IgE, to identify predictors for elevated specific IgE to penicillins."
penicillins,allergy,efecto_adverso,"CONCLUSION: A history of an immediate type reaction requiring treatment, combined with elevated specific IgE to one or more penicillins is suggestive of an IgE mediated penicillin allergy and further allergy investigations may not be needed."
penicillin allergy,allergy,efecto_adverso,"CONCLUSION: A history of an immediate type reaction requiring treatment, combined with elevated specific IgE to one or more penicillins is suggestive of an IgE mediated penicillin allergy and further allergy investigations may not be needed."
penicillins,allergy,efecto_adverso,Specific IgE to penicillins may be used early in allergy investigation of patients with severe immediate type reactions to penicillins.
penicillins,allergy,efecto_adverso,Specific IgE to penicillins may be used early in allergy investigation of patients with severe immediate type reactions to penicillins.
swine,toxicity,efecto_adverso,"The high prevalence of antibiotic resistance, presence of the mcr-2 gene, and toxicity of pax toxin-positive isolates suggest that P. aerogenes may be an underestimated factor in swine reproductive health."
Bismuth,Helicobacter pylori infection,tratamiento,"BACKGROUND: Bismuth quadruple therapies (BQTs) including bismuth, a proton pump inhibitor (PPI) and two antibiotics have been shown to be highly effective for treating Helicobacter pylori infection even in areas of high bacterial antibiotic resistance."
bismuth,Helicobacter pylori infection,tratamiento,"BACKGROUND: Bismuth quadruple therapies (BQTs) including bismuth, a proton pump inhibitor (PPI) and two antibiotics have been shown to be highly effective for treating Helicobacter pylori infection even in areas of high bacterial antibiotic resistance."
bismuth,tetracycline-plus,otro,"Single-capsule BQT-containing bismuth, metronidazole and tetracycline-plus a PPI (single-capsule BQT, ScBQT) was the most frequent treatment mode (43%)."
metronidazole,tetracycline-plus,otro,"Single-capsule BQT-containing bismuth, metronidazole and tetracycline-plus a PPI (single-capsule BQT, ScBQT) was the most frequent treatment mode (43%)."
hydroxypropyl methylcellulose,low-density excipients,otro,"Method: GRCTs were prepared with low-density excipients and hydrophilic swellable polymers, including hydroxypropyl methylcellulose (HPMC) of various viscosities, polyethylene oxide (PEO), and carboxymethylcellulose (CMC), by the direct compression method."
HPMC,low-density excipients,otro,"Method: GRCTs were prepared with low-density excipients and hydrophilic swellable polymers, including hydroxypropyl methylcellulose (HPMC) of various viscosities, polyethylene oxide (PEO), and carboxymethylcellulose (CMC), by the direct compression method."
polyethylene oxide,low-density excipients,otro,"Method: GRCTs were prepared with low-density excipients and hydrophilic swellable polymers, including hydroxypropyl methylcellulose (HPMC) of various viscosities, polyethylene oxide (PEO), and carboxymethylcellulose (CMC), by the direct compression method."
PEO,low-density excipients,otro,"Method: GRCTs were prepared with low-density excipients and hydrophilic swellable polymers, including hydroxypropyl methylcellulose (HPMC) of various viscosities, polyethylene oxide (PEO), and carboxymethylcellulose (CMC), by the direct compression method."
carboxymethylcellulose,low-density excipients,otro,"Method: GRCTs were prepared with low-density excipients and hydrophilic swellable polymers, including hydroxypropyl methylcellulose (HPMC) of various viscosities, polyethylene oxide (PEO), and carboxymethylcellulose (CMC), by the direct compression method."
CMC,low-density excipients,otro,"Method: GRCTs were prepared with low-density excipients and hydrophilic swellable polymers, including hydroxypropyl methylcellulose (HPMC) of various viscosities, polyethylene oxide (PEO), and carboxymethylcellulose (CMC), by the direct compression method."
AMX,[4000 cP]/CMC/microcrystalline cellulose/citric acid/sodium bicarbonate/calcium silicate/silicon dioxide/magnesium stearate,otro,"The effervescent GRCT composition (AMX/LVX/HPMC [4000 cP]/CMC/microcrystalline cellulose/citric acid/sodium bicarbonate/calcium silicate/silicon dioxide/magnesium stearate = 500/125/50/50/125/40/60/30/10/10, w/w) yielded acceptable hardness (>6 kp), reduced floating lag time (<5 s), a long floating duration (>12 h), and sustained release rates of AMX and LVX (>90% until 12 h)."
AMX,hardness,otro,"The effervescent GRCT composition (AMX/LVX/HPMC [4000 cP]/CMC/microcrystalline cellulose/citric acid/sodium bicarbonate/calcium silicate/silicon dioxide/magnesium stearate = 500/125/50/50/125/40/60/30/10/10, w/w) yielded acceptable hardness (>6 kp), reduced floating lag time (<5 s), a long floating duration (>12 h), and sustained release rates of AMX and LVX (>90% until 12 h)."
LVX,[4000 cP]/CMC/microcrystalline cellulose/citric acid/sodium bicarbonate/calcium silicate/silicon dioxide/magnesium stearate,otro,"The effervescent GRCT composition (AMX/LVX/HPMC [4000 cP]/CMC/microcrystalline cellulose/citric acid/sodium bicarbonate/calcium silicate/silicon dioxide/magnesium stearate = 500/125/50/50/125/40/60/30/10/10, w/w) yielded acceptable hardness (>6 kp), reduced floating lag time (<5 s), a long floating duration (>12 h), and sustained release rates of AMX and LVX (>90% until 12 h)."
LVX,hardness,otro,"The effervescent GRCT composition (AMX/LVX/HPMC [4000 cP]/CMC/microcrystalline cellulose/citric acid/sodium bicarbonate/calcium silicate/silicon dioxide/magnesium stearate = 500/125/50/50/125/40/60/30/10/10, w/w) yielded acceptable hardness (>6 kp), reduced floating lag time (<5 s), a long floating duration (>12 h), and sustained release rates of AMX and LVX (>90% until 12 h)."
amoxicillin,UC,otro,"Methods: Thirty-one patients with UC given ATM/AFM (amoxicillin, metronidazole, and tetracycline or fosfomycin) therapy for two weeks were enrolled in this study."
metronidazole,UC,otro,"Methods: Thirty-one patients with UC given ATM/AFM (amoxicillin, metronidazole, and tetracycline or fosfomycin) therapy for two weeks were enrolled in this study."
tetracycline,UC,otro,"Methods: Thirty-one patients with UC given ATM/AFM (amoxicillin, metronidazole, and tetracycline or fosfomycin) therapy for two weeks were enrolled in this study."
fosfomycin,UC,otro,"Methods: Thirty-one patients with UC given ATM/AFM (amoxicillin, metronidazole, and tetracycline or fosfomycin) therapy for two weeks were enrolled in this study."
bifidobacterium,bacteroides,otro,"After treatment in the responder group, the populations of bifidobacterium and lactobacilli species were significantly increased, while the population of bacteroides decreased."
